$Info: Start...
Info: get 10000 brown.words
Info: annotate pos_tag (10000 tokens)
Info: convert to pyrata format 
Info: control pyrata cpu time and memory usage
Info: end.
         5803160 function calls (5744724 primitive calls) in 11.093 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1297/1    0.014    0.000   11.095   11.095 {built-in method builtins.exec}
        1    0.000    0.000   11.095   11.095 do_control-time-memory-usage.py:29(<module>)
        1    0.000    0.000    7.712    7.712 do_control-time-memory-usage.py:51(test_noun_phrase)
        1    0.001    0.001    7.712    7.712 re.py:134(findall)
        1    0.004    0.004    7.691    7.691 compiled_pattern.py:883(findall)
        1    0.189    0.189    7.677    7.677 compiled_pattern.py:691(finditer)
    12568    0.125    0.000    6.305    0.001 nfa.py:231(step)
    35944    1.036    0.000    3.596    0.000 basic.py:764(subs)
       73    0.005    0.000    3.327    0.046 __init__.py:1(<module>)
   1000/6    0.008    0.000    1.648    0.275 <frozen importlib._bootstrap>:986(_find_and_load)
   1000/6    0.006    0.000    1.648    0.275 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    942/7    0.007    0.000    1.647    0.235 <frozen importlib._bootstrap>:650(_load_unlocked)
    892/7    0.004    0.000    1.646    0.235 <frozen importlib._bootstrap_external>:777(exec_module)
   1142/7    0.001    0.000    1.644    0.235 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    1.555    1.555 __init__.py:139(pos_tag)
    35950    0.698    0.000    1.480    0.000 basic.py:1867(_aresame)
        1    0.000    0.000    1.403    1.403 __init__.py:110(_pos_tag)
        1    0.038    0.038    1.403    1.403 perceptron.py:172(tag)
        1    0.001    0.001    1.016    1.016 re.py:28(<module>)
        1    0.000    0.000    1.008    1.008 match.py:27(<module>)
     3772    0.745    0.000    0.946    0.000 perceptron.py:59(predict)
   204652    0.523    0.000    0.923    0.000 __init__.py:2072(debug)
    96038    0.351    0.000    0.911    0.000 {method 'format' of 'str' objects}
        5    0.002    0.000    0.838    0.168 __init__.py:9(<module>)
   434/58    0.002    0.000    0.705    0.012 {built-in method builtins.__import__}
    10809    0.066    0.000    0.648    0.000 copy.py:128(deepcopy)
    70137    0.390    0.000    0.560    0.000 state.py:209(__str__)
    35944    0.197    0.000    0.512    0.000 basic.py:906(<listcomp>)
    10809    0.073    0.000    0.510    0.000 nfa.py:580(__deepcopy__)
    35944    0.058    0.000    0.481    0.000 nfa.py:265(<listcomp>)
   578478    0.402    0.000    0.465    0.000 {built-in method builtins.isinstance}
    35944    0.101    0.000    0.423    0.000 nfa.py:57(evaluate_single_constraint)
    10810    0.080    0.000    0.421    0.000 nfa.py:118(__init__)
2307/2299    0.082    0.000    0.400    0.000 {built-in method builtins.__build_class__}
   107930    0.160    0.000    0.337    0.000 sympify.py:92(sympify)
   204652    0.188    0.000    0.335    0.000 __init__.py:1412(debug)
        5    0.000    0.000    0.328    0.066 __init__.py:10(<module>)
    20004    0.011    0.000    0.315    0.000 util.py:406(iterate_from)
    35950    0.043    0.000    0.307    0.000 basic.py:362(__ne__)
    20016    0.020    0.000    0.305    0.000 util.py:269(iterate_from)
      892    0.014    0.000    0.294    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    10812    0.037    0.000    0.291    0.000 state.py:86(create_start_state)
        1    0.000    0.000    0.272    0.272 collocations.py:8(<module>)
 1044/825    0.005    0.000    0.265    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    35952    0.058    0.000    0.264    0.000 expr.py:143(__eq__)
    10817    0.071    0.000    0.254    0.000 state.py:51(__init__)
    64612    0.144    0.000    0.250    0.000 state.py:81(is_normal)
    29382    0.057    0.000    0.248    0.000 re.py:289(_compile)
      771    0.011    0.000    0.248    0.000 tagged.py:329(read_block)
        1    0.000    0.000    0.225    0.225 sympify.py:1(<module>)
36050/36039    0.130    0.000    0.216    0.000 cache.py:69(wrapper)
        1    0.000    0.000    0.213    0.213 basic.py:1(<module>)
        1    0.000    0.000    0.207    0.207 assumptions.py:1(<module>)
        1    0.001    0.001    0.205    0.205 facts.py:405(__init__)
9787/9784    0.120    0.000    0.196    0.000 {built-in method builtins.max}
      892    0.004    0.000    0.189    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      892    0.183    0.000    0.183    0.000 {built-in method marshal.loads}
    36001    0.094    0.000    0.175    0.000 sympify.py:486(_sympify)
        1    0.000    0.000    0.170    0.170 segmentation.py:11(<module>)
     3772    0.051    0.000    0.167    0.000 perceptron.py:284(_get_features)
   182033    0.147    0.000    0.166    0.000 {built-in method builtins.getattr}
    72434    0.045    0.000    0.164    0.000 {built-in method builtins.next}
    28310    0.042    0.000    0.164    0.000 re.py:198(search)
      387    0.000    0.000    0.160    0.000 re.py:250(compile)
       76    0.000    0.000    0.158    0.002 core.py:58(_)
    74269    0.101    0.000    0.156    0.000 <frozen importlib._bootstrap>:389(parent)
      319    0.003    0.000    0.155    0.000 sre_compile.py:759(compile)
